time,temp_c,rh
2025-11-04 00:00:00,5.5,99
2025-11-04 01:00:00,5.2,98
2025-11-04 02:00:00,4.7,98
2025-11-04 03:00:00,4.0,100
2025-11-04 04:00:00,3.4,100
2025-11-04 05:00:00,2.9,100
2025-11-04 06:00:00,2.9,99
2025-11-04 07:00:00,2.6,100
2025-11-04 08:00:00,2.4,100
2025-11-04 09:00:00,2.9,97
2025-11-04 10:00:00,5.1,86
2025-11-04 11:00:00,8.0,69
2025-11-04 12:00:00,10.3,60
2025-11-04 13:00:00,12.1,55
2025-11-04 14:00:00,12.9,55
2025-11-04 15:00:00,13.1,57
2025-11-04 16:00:00,13.4,56
2025-11-04 17:00:00,12.5,58
2025-11-04 18:00:00,11.0,68
2025-11-04 19:00:00,9.2,84
2025-11-04 20:00:00,8.1,88
2025-11-04 21:00:00,7.0,90
2025-11-04 22:00:00,5.0,100
2025-11-04 23:00:00,4.4,100
2025-11-05 00:00:00,4.1,100
2025-11-05 01:00:00,3.3,100
2025-11-05 02:00:00,2.6,100
2025-11-05 03:00:00,2.6,100
2025-11-05 04:00:00,2.9,94
2025-11-05 05:00:00,2.7,99
2025-11-05 06:00:00,2.6,98
2025-11-05 07:00:00,2.0,100
2025-11-05 08:00:00,1.8,100
2025-11-05 09:00:00,2.4,98
2025-11-05 10:00:00,3.9,88
2025-11-05 11:00:00,6.4,76
2025-11-05 12:00:00,9.1,63
2025-11-05 13:00:00,11.0,60
2025-11-05 14:00:00,12.4,59
2025-11-05 15:00:00,12.8,59
2025-11-05 16:00:00,13.0,57
2025-11-05 17:00:00,12.0,63
2025-11-05 18:00:00,10.4,73
2025-11-05 19:00:00,8.9,84
2025-11-05 20:00:00,8.0,89
2025-11-05 21:00:00,5.5,97
2025-11-05 22:00:00,4.3,100
2025-11-05 23:00:00,3.3,100
2025-11-06 00:00:00,2.8,100
2025-11-06 01:00:00,1.9,100
2025-11-06 02:00:00,2.2,100
2025-11-06 03:00:00,2.4,100
2025-11-06 04:00:00,1.5,100
2025-11-06 05:00:00,1.9,100
2025-11-06 06:00:00,1.8,100
2025-11-06 07:00:00,1.6,100
2025-11-06 08:00:00,2.1,100
2025-11-06 09:00:00,2.3,100
2025-11-06 10:00:00,2.4,100
2025-11-06 11:00:00,3.4,95
2025-11-06 12:00:00,5.9,82
2025-11-06 13:00:00,8.5,72
2025-11-06 14:00:00,10.6,63
2025-11-06 15:00:00,11.3,61
2025-11-06 16:00:00,11.0,62
2025-11-06 17:00:00,9.9,71
2025-11-06 18:00:00,8.6,78
2025-11-06 19:00:00,6.9,90
2025-11-06 20:00:00,6.2,94
2025-11-06 21:00:00,3.9,100
2025-11-06 22:00:00,2.5,100
2025-11-06 23:00:00,2.3,100
